index,Target Job,Previous Job ,Variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],number,,,,
1125,,,Mod_above_2,0.876645365,1.364616547,0.642411501,0.520606034,-1.79795392,3.55124465,745,,,,
1126,,,Exp_above_2,-1.230637375,1.222331033,-1.006795493,0.314033061,-3.626362177,1.165087426,616,,,,
1127,,,Time,0.044523781,0.036655846,1.214643384,0.224502134,-0.027320357,0.11636792,526,,,,
1128,,,Job,0.09721718,0.288349212,0.337150842,0.736003192,-0.467936892,0.662371251,873,,,,
1129,,,Task,0.080921568,0.132766691,0.609502032,0.542191727,-0.179296365,0.341139502,758,,,,
1130,,,Biome,-0.604717991,0.641667427,-0.942416532,0.345979427,-1.862363038,0.652927056,630,,,,
1131,,,Session,0.039801846,0.030247058,1.315891476,0.18821047,-0.019481299,0.09908499,494,,,,
1132,kelp-start-refuge,,,,,,,,,,,,,
1133,,kelp-bull-kelp-forest,,,,,,,,,,,,
1134,,,const,3.222313672,1.69274989,1.903597036,0.056962685,-0.095415147,6.54004249,313,,,,
1135,,,Complete_A,0.328529787,1.489897934,0.220504895,0.825477961,-2.591616503,3.248676078,921,,,,
1136,,,Arg_above_2,1.274357911,0.472926863,2.694619423,0.007046907,0.347438292,2.20127753,174,,,,
1137,,,Mod_above_2,-0.238581034,1.229682047,-0.194018474,0.846161417,-2.648713557,2.17155149,930,,,,
1138,,,Exp_above_2,3.064687646,20.3128784,0.15087412,0.880075016,-36.74782245,42.87719774,956,,,,
1139,,,Time,-0.005806183,0.002215177,-2.621092334,0.008764852,-0.01014785,-0.001464516,184,,,,
1140,,,Job,0.196356924,0.287563015,0.682830943,0.494713675,-0.367256228,0.759970077,731,,,,
1141,,,Task,-0.171752623,0.124891321,-1.375216643,0.16906429,-0.416535115,0.073029868,470,,,,
1142,,,Biome,-0.369148102,0.543768629,-0.678869803,0.497220361,-1.43491503,0.696618826,735,,,,
1143,,,Session,0.036707403,0.020670337,1.775849242,0.075757769,-0.003805714,0.077220519,340,,,,
1144,,bayou-displaced-reef,,,,,,,,,,,,
1145,,,const,3.727388475,1.645622708,2.265032232,0.023510702,0.502027235,6.952749715,236,,,,
1146,,,Complete_A,1.423242593,1.000345534,1.422750985,0.154808355,-0.537398625,3.383883812,458,,,,
1147,,,Arg_above_2,1.192735203,0.445231916,2.678907685,0.007386275,0.320096682,2.065373724,176,,,,
1148,,,Mod_above_2,-0.194309074,1.183291805,-0.164210614,0.869565345,-2.513518395,2.124900247,947,,,,
1149,,,Exp_above_2,3.573647315,21.360548,0.167301294,0.867132986,-38.29225746,45.43955209,943,,,,
1150,,,Time,-0.006093899,0.001949838,-3.125336039,0.00177602,-0.009915511,-0.002272287,134,,,,
1151,,,Job,0.230060721,0.282581401,0.814139644,0.415564957,-0.323788647,0.783910089,677,,,,
1152,,,Task,-0.186446815,0.121185964,-1.538518228,0.123921955,-0.423966939,0.05107331,408,,,,
1153,,,Biome,-0.715921549,0.633156808,-1.130717604,0.25817397,-1.95688609,0.525042992,564,,,,
1154,,,Session,0.033613659,0.020568408,1.634237227,0.102209049,-0.006699681,0.073926998,375,,,,
1155,kelp-energy,,,,,,,,,,,,,
1156,,kelp-bull-kelp-forest,,,,,,,,,,,,
1157,,,const,3.736497423,0.981597664,3.806546775,0.000140921,1.812601354,5.660393492,78,,,,
1158,,,Complete_A,-1.380604606,1.356127059,-1.018049597,0.308654387,-4.0385648,1.277355589,605,,,,
1159,,,Arg_above_2,-1.950535408,0.631289245,-3.089764988,0.002003149,-3.187839593,-0.713231223,136,,,,
1160,,,Mod_above_2,1.384181608,11.04325431,0.125341821,0.900252945,-20.26019912,23.02856233,969,,,,
1161,,,Exp_above_2,1.647095724,9.974279259,0.16513431,0.868838268,-17.9021324,21.19632384,945,,,,
1162,,,Time,-0.003298957,0.002685372,-1.228491535,0.219262505,-0.00856219,0.001964276,523,,,,
1163,,,Job,1.462578575,0.362451512,4.035239277,5.45E-05,0.752186667,2.172970484,63,,,,
1164,,,Task,-0.065392946,0.20135515,-0.324764209,0.745359535,-0.460041787,0.329255895,877,,,,
1165,,,Biome,-1.129667215,0.326822728,-3.456513635,0.000547212,-1.770227992,-0.489106439,105,,,,
1166,,,Session,0.024406732,0.017435233,1.399851207,0.16155788,-0.009765697,0.05857916,464,,,,
1167,,kelp-mussel-fest,,,,,,,,,,,,
1168,,,const,3.319479197,0.739867122,4.486588335,7.24E-06,1.869366285,4.769592109,47,,,,
1169,,,Complete_A,3.115204985,1.417074973,2.198334628,0.027925268,0.337789074,5.892620896,249,,,,
1170,,,Arg_above_2,-1.460490048,0.472672971,-3.08985311,0.002002555,-2.386912048,-0.534068049,135,,,,
1171,,,Mod_above_2,1.345009798,6.968913624,0.193001359,0.846957904,-12.31380992,15.00382951,931,,,,
1172,,,Exp_above_2,1.658654626,6.120869647,0.270983491,0.786403729,-10.33802944,13.65533869,901,,,,
1173,,,Time,-0.006088612,0.003126773,-1.947251172,0.051504629,-0.012216974,3.98E-05,299,,,,
1174,,,Job,1.235928724,0.350762885,3.523544756,0.000425815,0.548446102,1.923411345,96,,,,
1175,,,Task,-0.16148673,0.177716463,-0.908676256,0.363521041,-0.509804598,0.186831137,643,,,,
1176,,,Biome,-0.931786915,0.313258694,-2.974496583,0.002934697,-1.545762673,-0.317811157,146,,,,
1177,,,Session,-0.002460535,0.008364591,-0.29416085,0.768634995,-0.018854832,0.013933762,893,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
